epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,131.404,1.23116,0.99789,1.1479,0.97228,0.98369,0.99265,0.69097,1.14346,0.50045,1.09272,0.00332765,0.00332765,0.00332765
2,261.157,1.15849,0.62112,1.09326,0.97562,0.97896,0.98892,0.69436,1.13343,0.55632,1.09717,0.0066608,0.0066608,0.0066608
3,380.563,1.19066,0.68101,1.13361,0.98284,0.97672,0.98758,0.67006,1.12452,0.59688,1.09826,0.00999323,0.00999323,0.00999323
4,491.055,1.22394,0.70833,1.16316,0.9639,0.96516,0.98692,0.65523,1.16119,0.59589,1.16674,0.00999756,0.00999756,0.00999756
5,601.52,1.19265,0.67072,1.15794,0.97786,0.96738,0.988,0.6686,1.14121,0.58782,1.13175,0.00999566,0.00999566,0.00999566
6,709.157,1.18621,0.64284,1.15403,0.96558,0.97735,0.9908,0.68584,1.1324,0.55818,1.1244,0.00999322,0.00999322,0.00999322
7,820.943,1.1746,0.62657,1.15412,0.97351,0.98147,0.99248,0.69524,1.12256,0.52007,1.14737,0.00999023,0.00999023,0.00999023
8,940.566,1.16121,0.60189,1.13993,0.98681,0.97257,0.99284,0.67256,1.14285,0.54279,1.12758,0.00998671,0.00998671,0.00998671
9,1062.27,1.14987,0.5985,1.13207,0.98221,0.98209,0.99213,0.69852,1.10187,0.5125,1.11896,0.00998264,0.00998264,0.00998264
10,1183.19,1.13931,0.58542,1.13682,0.97756,0.9686,0.99012,0.69054,1.16408,0.50425,1.1304,0.00997803,0.00997803,0.00997803
11,1294.71,1.13148,0.57079,1.11932,0.98652,0.97641,0.99311,0.70327,1.09665,0.48527,1.10209,0.00997288,0.00997288,0.00997288
12,1400.9,1.12275,0.55842,1.11964,0.98661,0.98331,0.99391,0.70016,1.11313,0.48155,1.12634,0.0099672,0.0099672,0.0099672
13,1515.16,1.11477,0.5531,1.12245,0.98346,0.98295,0.99215,0.70558,1.11875,0.4883,1.14509,0.00996097,0.00996097,0.00996097
14,1629.7,1.10974,0.55551,1.12154,0.98194,0.97405,0.99289,0.69894,1.11166,0.50139,1.12114,0.0099542,0.0099542,0.0099542
15,1740.63,1.11692,0.54722,1.12053,0.98073,0.97702,0.99078,0.70309,1.10465,0.47528,1.11947,0.0099469,0.0099469,0.0099469
16,1854.62,1.11235,0.54613,1.11186,0.98509,0.97974,0.99247,0.7021,1.08484,0.48509,1.10229,0.00993906,0.00993906,0.00993906
17,1975.7,1.1127,0.53692,1.11185,0.9815,0.98295,0.99166,0.71567,1.06665,0.46001,1.08628,0.00993068,0.00993068,0.00993068
18,2098.28,1.10128,0.53252,1.10977,0.98569,0.98592,0.99342,0.72155,1.074,0.44405,1.08901,0.00992177,0.00992177,0.00992177
19,2218.64,1.10363,0.5305,1.11039,0.98539,0.98888,0.99353,0.7194,1.07765,0.45806,1.11143,0.00991232,0.00991232,0.00991232
20,2339.66,1.08907,0.51956,1.11376,0.9823,0.98728,0.993,0.71589,1.06369,0.46044,1.10578,0.00990234,0.00990234,0.00990234
21,2461.1,1.09911,0.52296,1.1104,0.98517,0.98489,0.99281,0.72242,1.07383,0.44918,1.10343,0.00989183,0.00989183,0.00989183
22,2582.04,1.0802,0.51314,1.10324,0.98231,0.98783,0.99393,0.71941,1.06417,0.43835,1.08691,0.00988079,0.00988079,0.00988079
23,2704.14,1.08746,0.5125,1.10529,0.98149,0.98962,0.99398,0.72422,1.06468,0.44196,1.08857,0.00986922,0.00986922,0.00986922
