epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,5636.81,1.02243,0.45642,1.06882,0.995,0.99183,0.99439,0.73588,1.03185,0.38609,1.07363,0.00828443,0.00828443,0.00828443
43,5771.02,1.01786,0.45593,1.05695,0.99203,0.98515,0.99398,0.73714,1.02305,0.39133,1.06141,0.00820525,0.00820525,0.00820525
44,5906.76,1.01359,0.45228,1.05854,0.99304,0.99035,0.99416,0.74028,1.02058,0.38144,1.05902,0.00812468,0.00812468,0.00812468
45,6042.55,1.01646,0.45141,1.05673,0.99296,0.99258,0.99399,0.74904,1.01306,0.3789,1.05377,0.00804277,0.00804277,0.00804277
46,6178.14,1.01567,0.44863,1.05921,0.99233,0.99258,0.99377,0.73521,1.01493,0.38355,1.06357,0.00795954,0.00795954,0.00795954
47,6314.17,1.00238,0.43863,1.05158,0.99182,0.98983,0.9937,0.74869,1.01697,0.38107,1.05445,0.00787503,0.00787503,0.00787503
48,6450.09,1.0044,0.43713,1.05424,0.99184,0.9948,0.99386,0.74417,1.01821,0.38266,1.06166,0.00778929,0.00778929,0.00778929
49,6585.94,1.00575,0.44047,1.05868,0.99031,0.99183,0.9938,0.74624,1.0157,0.37179,1.06588,0.00770234,0.00770234,0.00770234
50,6722.64,0.99852,0.4385,1.05692,0.99174,0.99555,0.99413,0.74955,1.01819,0.3777,1.06612,0.00761423,0.00761423,0.00761423
51,6859.35,1.00388,0.43743,1.05232,0.99217,0.9948,0.9939,0.75343,1.01474,0.36275,1.05366,0.007525,0.007525,0.007525
52,6993.75,0.99291,0.43015,1.04456,0.99576,0.98812,0.99393,0.73718,1.01892,0.36869,1.05665,0.00743468,0.00743468,0.00743468
53,7130.61,0.99567,0.43385,1.05152,0.98889,0.991,0.99269,0.73563,1.01762,0.37316,1.05744,0.00734332,0.00734332,0.00734332
54,7266.74,1.00059,0.42994,1.05144,0.99131,0.99258,0.99419,0.75591,1.01323,0.36363,1.05736,0.00725094,0.00725094,0.00725094
55,7404.14,0.9773,0.4248,1.04783,0.99432,0.9948,0.99388,0.7401,1.01258,0.36638,1.06097,0.00715761,0.00715761,0.00715761
56,7541.02,0.97828,0.42357,1.04521,0.99038,0.99383,0.99398,0.75213,1.012,0.35854,1.05787,0.00706335,0.00706335,0.00706335
57,7677.89,0.98301,0.42558,1.04743,0.99405,0.99406,0.99397,0.74456,1.00971,0.35258,1.05462,0.0069682,0.0069682,0.0069682
58,7814.57,0.97544,0.42121,1.0432,0.99331,0.99223,0.99429,0.7458,1.00539,0.36069,1.06255,0.00687222,0.00687222,0.00687222
59,7952.23,0.98155,0.42228,1.04482,0.9933,0.99406,0.99428,0.75089,1.00493,0.34885,1.051,0.00677543,0.00677543,0.00677543
