epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,158.407,1.24259,1.00952,1.1615,0.9776,0.97147,0.98737,0.68085,1.14928,0.50215,1.10795,0.00332765,0.00332765,0.00332765
2,301.314,1.16116,0.61604,1.11775,0.97841,0.97498,0.99155,0.68431,1.179,0.5423,1.13148,0.00666026,0.00666026,0.00666026
3,442.316,1.19514,0.67165,1.15083,0.96095,0.95994,0.98572,0.66241,1.17084,0.60554,1.14369,0.00998997,0.00998997,0.00998997
4,584.58,1.22494,0.69755,1.17093,0.9542,0.9592,0.9795,0.66329,1.16709,0.61761,1.15511,0.00999023,0.00999023,0.00999023
5,723.872,1.2004,0.65979,1.15642,0.96998,0.96142,0.98431,0.65751,1.14481,0.60224,1.14449,0.00998264,0.00998264,0.00998264
6,865.198,1.19015,0.64664,1.14655,0.96912,0.96736,0.98855,0.66461,1.18076,0.55292,1.14989,0.00997288,0.00997288,0.00997288
7,1006.68,1.16509,0.60989,1.13757,0.97727,0.96291,0.98986,0.68304,1.11883,0.55874,1.12697,0.00996097,0.00996097,0.00996097
8,1148.09,1.16012,0.59713,1.12658,0.9775,0.96699,0.98722,0.69632,1.12613,0.51637,1.129,0.0099469,0.0099469,0.0099469
9,1289.45,1.16387,0.59644,1.13255,0.97441,0.96884,0.98329,0.67021,1.16262,0.54433,1.14705,0.00993068,0.00993068,0.00993068
10,1431.8,1.13768,0.58173,1.13527,0.98278,0.97372,0.99108,0.7127,1.08859,0.50525,1.11705,0.00991232,0.00991232,0.00991232
11,1573.99,1.13224,0.57231,1.12542,0.97757,0.96993,0.98904,0.70717,1.10495,0.49456,1.11032,0.00989183,0.00989183,0.00989183
12,1715.37,1.12468,0.55836,1.11038,0.98266,0.96884,0.98962,0.68139,1.16476,0.50033,1.14569,0.00986922,0.00986922,0.00986922
13,1857.03,1.1129,0.55511,1.10872,0.97607,0.97181,0.99069,0.70169,1.1186,0.49548,1.13096,0.00984449,0.00984449,0.00984449
14,1998.76,1.10963,0.54467,1.11041,0.98292,0.97329,0.99196,0.70537,1.07794,0.47224,1.09698,0.00981765,0.00981765,0.00981765
15,2139.9,1.11567,0.55043,1.11478,0.97995,0.97882,0.99311,0.70488,1.09852,0.4752,1.09992,0.00978873,0.00978873,0.00978873
16,2283.03,1.10892,0.5457,1.10164,0.97754,0.97774,0.99191,0.70397,1.09285,0.47748,1.11294,0.00975773,0.00975773,0.00975773
17,2424.71,1.10995,0.53477,1.10351,0.98147,0.98215,0.9908,0.71553,1.08908,0.45035,1.09113,0.00972466,0.00972466,0.00972466
18,2566.64,1.09441,0.52714,1.09523,0.97921,0.97826,0.99316,0.7205,1.08417,0.45244,1.09636,0.00968955,0.00968955,0.00968955
19,2708.82,1.10057,0.52845,1.09986,0.97288,0.98145,0.99241,0.71087,1.09221,0.46647,1.09977,0.00965239,0.00965239,0.00965239
20,2851.88,1.08708,0.51811,1.09436,0.98237,0.98294,0.99304,0.71898,1.07353,0.45047,1.08948,0.00961322,0.00961322,0.00961322
21,2994.43,1.10067,0.52205,1.09323,0.97698,0.97923,0.99066,0.71544,1.06664,0.45675,1.08735,0.00957205,0.00957205,0.00957205
22,3136.46,1.08365,0.51218,1.08599,0.98646,0.98071,0.99365,0.71462,1.09219,0.44426,1.10383,0.00952889,0.00952889,0.00952889
23,3279.52,1.08595,0.50549,1.08891,0.98432,0.98368,0.99318,0.72624,1.06256,0.43407,1.08502,0.00948377,0.00948377,0.00948377
24,3421.36,1.08042,0.51193,1.08814,0.98728,0.97923,0.99382,0.72045,1.06214,0.43798,1.08605,0.00943671,0.00943671,0.00943671
25,3564.47,1.07409,0.50213,1.08617,0.98151,0.98443,0.99121,0.72422,1.06042,0.43381,1.09272,0.00938772,0.00938772,0.00938772
26,3707.91,1.06245,0.49204,1.07941,0.98517,0.98539,0.99392,0.72534,1.06523,0.43312,1.08368,0.00933683,0.00933683,0.00933683
27,3850.6,1.06584,0.49062,1.08378,0.98757,0.98071,0.9932,0.72936,1.08366,0.42519,1.10073,0.00928405,0.00928405,0.00928405
28,3992.06,1.06872,0.49423,1.07934,0.9858,0.9822,0.99406,0.72865,1.0648,0.42689,1.07992,0.00922942,0.00922942,0.00922942
29,4134.68,1.06951,0.48589,1.08032,0.98664,0.98649,0.99451,0.7346,1.05284,0.42172,1.08313,0.00917296,0.00917296,0.00917296
30,4278.04,1.05882,0.48148,1.07172,0.98439,0.98266,0.99128,0.73374,1.06255,0.42449,1.08148,0.00911469,0.00911469,0.00911469
31,4419.64,1.05946,0.48141,1.06764,0.99027,0.98156,0.99338,0.72771,1.06328,0.41512,1.0695,0.00905463,0.00905463,0.00905463
32,4561.38,1.05489,0.48086,1.07251,0.98734,0.98385,0.99283,0.73766,1.04672,0.39902,1.07646,0.00899282,0.00899282,0.00899282
33,4704.65,1.05335,0.47677,1.07007,0.99003,0.98516,0.99357,0.73361,1.05,0.41117,1.07758,0.00892928,0.00892928,0.00892928
34,4847.33,1.04711,0.47757,1.07046,0.98232,0.98946,0.99352,0.73405,1.05112,0.42348,1.08298,0.00886404,0.00886404,0.00886404
35,4989.45,1.03127,0.46886,1.06436,0.98162,0.99022,0.99323,0.73131,1.04606,0.40703,1.06964,0.00879713,0.00879713,0.00879713
36,5129.92,1.03642,0.46686,1.06318,0.98666,0.98591,0.9935,0.74644,1.03566,0.40077,1.07241,0.00872857,0.00872857,0.00872857
37,5272.71,1.03721,0.46526,1.06941,0.98374,0.98742,0.99336,0.74349,1.04561,0.40462,1.08113,0.00865839,0.00865839,0.00865839
38,5415.55,1.02417,0.46131,1.06566,0.98088,0.98965,0.99248,0.72959,1.04286,0.40155,1.07793,0.00858664,0.00858664,0.00858664
39,5559,1.03087,0.46102,1.06228,0.98666,0.98742,0.99432,0.74274,1.05416,0.40192,1.07657,0.00851333,0.00851333,0.00851333
40,5702.06,1.02668,0.45605,1.06255,0.98445,0.98605,0.9928,0.73705,1.04886,0.40464,1.07555,0.00843851,0.00843851,0.00843851
41,5844.31,1.0241,0.4628,1.0637,0.98292,0.99036,0.99249,0.7329,1.04064,0.39766,1.07583,0.0083622,0.0083622,0.0083622
42,5987.74,1.02762,0.45579,1.05817,0.9892,0.98739,0.99414,0.74015,1.04379,0.3928,1.08132,0.00828443,0.00828443,0.00828443
43,6129.84,1.01546,0.45083,1.05877,0.9861,0.9911,0.99357,0.7428,1.03911,0.38895,1.07541,0.00820525,0.00820525,0.00820525
44,6272.51,1.02154,0.44742,1.0586,0.98671,0.98887,0.99187,0.74557,1.0278,0.38092,1.07021,0.00812468,0.00812468,0.00812468
45,6414.17,1.0199,0.4496,1.05915,0.98382,0.99218,0.99274,0.73266,1.04102,0.39038,1.07747,0.00804277,0.00804277,0.00804277
46,6556.83,1.01542,0.45135,1.05835,0.98592,0.98696,0.99139,0.7398,1.03594,0.39131,1.06755,0.00795954,0.00795954,0.00795954
47,6699.83,1.01139,0.44259,1.05091,0.98745,0.99184,0.99361,0.7205,1.03572,0.38125,1.07029,0.00787503,0.00787503,0.00787503
48,6842.61,1.0073,0.43972,1.05097,0.99005,0.98665,0.99362,0.74453,1.02617,0.37955,1.06938,0.00778929,0.00778929,0.00778929
49,6985.14,1.00373,0.43791,1.04694,0.98456,0.99308,0.99376,0.75135,1.03406,0.36997,1.06585,0.00770234,0.00770234,0.00770234
50,7128.74,1.00092,0.43178,1.05223,0.9849,0.99332,0.9921,0.74847,1.03074,0.38093,1.0663,0.00761423,0.00761423,0.00761423
51,7271.95,1.01194,0.44414,1.05531,0.9853,0.99418,0.99402,0.73839,1.02313,0.38023,1.07023,0.007525,0.007525,0.007525
52,7415.35,0.9975,0.43623,1.0444,0.98941,0.98442,0.99315,0.74332,1.0314,0.3834,1.06403,0.00743468,0.00743468,0.00743468
53,7559.67,1.00216,0.43634,1.05171,0.98745,0.99215,0.99235,0.74302,1.02911,0.3758,1.0613,0.00734332,0.00734332,0.00734332
54,7703.39,0.99928,0.42762,1.04192,0.99037,0.99229,0.99399,0.73758,1.02926,0.37093,1.06356,0.00725094,0.00725094,0.00725094
55,7846.6,0.99869,0.4276,1.04704,0.98596,0.99004,0.993,0.7476,1.03515,0.37373,1.07164,0.00715761,0.00715761,0.00715761
56,7990.22,0.99318,0.43103,1.04777,0.98964,0.99202,0.99371,0.74573,1.03263,0.36878,1.06922,0.00706335,0.00706335,0.00706335
57,8133.57,0.98956,0.43656,1.04134,0.99183,0.9903,0.99471,0.7464,1.02136,0.36812,1.06909,0.0069682,0.0069682,0.0069682
58,8276.81,0.97807,0.42221,1.03797,0.9845,0.98978,0.99238,0.74524,1.01902,0.36088,1.06385,0.00687222,0.00687222,0.00687222
59,8422.14,0.98617,0.42243,1.03854,0.98857,0.98739,0.99266,0.7513,1.02026,0.36352,1.06264,0.00677543,0.00677543,0.00677543
60,8566.92,0.98026,0.41604,1.04044,0.99079,0.99258,0.99348,0.74934,1.02354,0.36184,1.06471,0.00667789,0.00667789,0.00667789
61,8709.61,0.97396,0.41834,1.03727,0.98603,0.9945,0.99385,0.74497,1.02268,0.36193,1.06025,0.00657963,0.00657963,0.00657963
