epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,146.343,1.24046,1.02011,1.15753,0.97158,0.96298,0.9873,0.67666,1.1455,0.54837,1.09822,0.00332765,0.00332765,0.00332765
2,276.879,1.15379,0.6188,1.10833,0.98223,0.9748,0.98968,0.68544,1.13262,0.56078,1.10871,0.00666026,0.00666026,0.00666026
3,404.953,1.20388,0.67968,1.14225,0.96918,0.95849,0.98457,0.65994,1.16093,0.61271,1.14095,0.00998997,0.00998997,0.00998997
4,532.427,1.20702,0.69644,1.16896,0.97533,0.9672,0.98899,0.65299,1.15652,0.58474,1.16454,0.00999023,0.00999023,0.00999023
5,657.93,1.19555,0.64821,1.15258,0.98262,0.96417,0.9901,0.68435,1.14281,0.54261,1.13216,0.00998264,0.00998264,0.00998264
6,785.108,1.18047,0.63419,1.14958,0.97699,0.97563,0.99121,0.68294,1.14072,0.53607,1.16123,0.00997288,0.00997288,0.00997288
7,910.927,1.17739,0.62397,1.14857,0.97772,0.97593,0.99027,0.67643,1.13893,0.54044,1.14872,0.00996097,0.00996097,0.00996097
8,1038.17,1.1634,0.60161,1.13293,0.97445,0.97183,0.99172,0.69011,1.11909,0.50933,1.14012,0.0099469,0.0099469,0.0099469
9,1165.56,1.1488,0.59489,1.12389,0.9822,0.97183,0.9929,0.69005,1.1309,0.50574,1.13268,0.00993068,0.00993068,0.00993068
10,1292.63,1.14112,0.5882,1.12613,0.98441,0.98286,0.99422,0.68748,1.14152,0.49151,1.13247,0.00991232,0.00991232,0.00991232
11,1419.25,1.13466,0.56696,1.12561,0.97438,0.98661,0.99279,0.6985,1.10877,0.50051,1.12155,0.00989183,0.00989183,0.00989183
12,1545.31,1.11689,0.55963,1.10863,0.98292,0.98106,0.99301,0.70389,1.09707,0.4755,1.12128,0.00986922,0.00986922,0.00986922
13,1671.89,1.12549,0.55919,1.11796,0.98255,0.98666,0.99392,0.69656,1.11554,0.48071,1.13408,0.00984449,0.00984449,0.00984449
14,1797.57,1.1103,0.54666,1.111,0.97626,0.97551,0.9922,0.70231,1.1072,0.47908,1.10824,0.00981765,0.00981765,0.00981765
15,1926.13,1.10487,0.53556,1.1071,0.97683,0.98962,0.99337,0.71134,1.08559,0.47295,1.10315,0.00978873,0.00978873,0.00978873
16,2054.46,1.0969,0.52877,1.09988,0.97836,0.98592,0.99304,0.71338,1.07539,0.45499,1.09975,0.00975773,0.00975773,0.00975773
17,2182.62,1.10108,0.52285,1.09949,0.98481,0.98666,0.99378,0.71141,1.09855,0.45445,1.11391,0.00972466,0.00972466,0.00972466
18,2309.78,1.10826,0.52505,1.10636,0.986,0.97776,0.99428,0.71306,1.06878,0.44464,1.08855,0.00968955,0.00968955,0.00968955
19,2438.28,1.09441,0.52386,1.09465,0.98768,0.98962,0.9945,0.7205,1.07752,0.44156,1.1212,0.00965239,0.00965239,0.00965239
20,2566.55,1.09108,0.52201,1.09533,0.98084,0.98668,0.99424,0.72455,1.09464,0.44925,1.09278,0.00961322,0.00961322,0.00961322
21,2694.75,1.08848,0.5142,1.08846,0.98114,0.98666,0.99398,0.70899,1.08491,0.45556,1.10425,0.00957205,0.00957205,0.00957205
22,2822.24,1.06889,0.50386,1.08041,0.98333,0.98666,0.99289,0.71965,1.07032,0.44688,1.10212,0.00952889,0.00952889,0.00952889
23,2951.13,1.08535,0.50657,1.10037,0.98666,0.98715,0.99399,0.72545,1.0709,0.43077,1.1023,0.00948377,0.00948377,0.00948377
24,3079.8,1.07317,0.5084,1.08464,0.98238,0.99185,0.99442,0.73081,1.06649,0.42308,1.08212,0.00943671,0.00943671,0.00943671
25,3207.09,1.06102,0.49306,1.07659,0.98862,0.99185,0.99463,0.72573,1.06372,0.42345,1.08147,0.00938772,0.00938772,0.00938772
26,3334.78,1.06827,0.49151,1.08656,0.98666,0.98679,0.99406,0.7309,1.06989,0.42997,1.08979,0.00933683,0.00933683,0.00933683
27,3463.39,1.05694,0.48616,1.07882,0.98304,0.98815,0.99408,0.72502,1.06076,0.41941,1.08997,0.00928405,0.00928405,0.00928405
28,3592.83,1.06026,0.48765,1.07963,0.98739,0.98645,0.99391,0.72688,1.07478,0.42478,1.09235,0.00922942,0.00922942,0.00922942
29,3724.13,1.05097,0.48601,1.07989,0.98579,0.98666,0.99408,0.72733,1.0697,0.4294,1.0842,0.00917296,0.00917296,0.00917296
30,3852.69,1.05045,0.47735,1.07083,0.98448,0.98775,0.99342,0.7219,1.08156,0.40892,1.08794,0.00911469,0.00911469,0.00911469
31,3980.25,1.05248,0.47749,1.07286,0.98447,0.987,0.99349,0.73116,1.04114,0.42428,1.08559,0.00905463,0.00905463,0.00905463
32,4108.27,1.04434,0.47471,1.0667,0.98769,0.98666,0.99445,0.73817,1.05383,0.41318,1.0825,0.00899282,0.00899282,0.00899282
33,4236.47,1.04503,0.47581,1.07437,0.98592,0.98602,0.9936,0.72858,1.0552,0.41539,1.10547,0.00892928,0.00892928,0.00892928
34,4365.5,1.04919,0.47321,1.07323,0.98493,0.9874,0.99354,0.73311,1.06386,0.4073,1.0953,0.00886404,0.00886404,0.00886404
35,4493.07,1.043,0.46873,1.07154,0.98162,0.98977,0.99387,0.72982,1.0463,0.40184,1.07912,0.00879713,0.00879713,0.00879713
36,4621.4,1.04012,0.46762,1.06537,0.98472,0.98443,0.99362,0.72275,1.06218,0.40772,1.0849,0.00872857,0.00872857,0.00872857
37,4749.17,1.04078,0.46614,1.06484,0.98245,0.98666,0.99382,0.7235,1.0583,0.41692,1.08605,0.00865839,0.00865839,0.00865839
38,4879.41,1.04062,0.46807,1.06757,0.98512,0.98666,0.99424,0.72939,1.03398,0.39742,1.0638,0.00858664,0.00858664,0.00858664
39,5007.57,1.03588,0.45643,1.0605,0.9911,0.99091,0.99356,0.73798,1.04864,0.38759,1.07218,0.00851333,0.00851333,0.00851333
40,5136.03,1.03477,0.45758,1.07009,0.98666,0.98669,0.99443,0.73721,1.0427,0.38988,1.0728,0.00843851,0.00843851,0.00843851
41,5264.71,1.02096,0.4556,1.05565,0.98718,0.9874,0.99419,0.73793,1.0523,0.38929,1.08377,0.0083622,0.0083622,0.0083622
42,5394.07,1.01705,0.44812,1.05557,0.98458,0.99367,0.99415,0.73987,1.04872,0.39229,1.08504,0.00828443,0.00828443,0.00828443
43,5523.35,1.01275,0.44653,1.05239,0.98922,0.98666,0.99415,0.74696,1.03201,0.38241,1.06739,0.00820525,0.00820525,0.00820525
44,5652.01,1.02153,0.44861,1.05248,0.98761,0.98962,0.99423,0.73679,1.03996,0.38951,1.07173,0.00812468,0.00812468,0.00812468
45,5780.22,1.01053,0.44355,1.05029,0.98673,0.98962,0.99431,0.73716,1.0532,0.38625,1.07938,0.00804277,0.00804277,0.00804277
46,5908.47,1.00934,0.44459,1.05602,0.98745,0.99189,0.99414,0.73802,1.03779,0.38617,1.07249,0.00795954,0.00795954,0.00795954
