epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,118.902,1.24365,1.01491,1.16149,0.97939,0.96815,0.98717,0.69908,1.11931,0.51359,1.10174,0.00332765,0.00332765,0.00332765
2,242.928,1.16345,0.61439,1.11394,0.97959,0.95979,0.98667,0.68638,1.12498,0.53839,1.1014,0.00666026,0.00666026,0.00666026
3,365.183,1.19402,0.68003,1.13722,0.96436,0.96202,0.98478,0.60615,1.26363,0.67471,1.21023,0.00998997,0.00998997,0.00998997
4,486.017,1.21374,0.69957,1.16363,0.96368,0.94741,0.98175,0.6717,1.14424,0.65705,1.14138,0.00999023,0.00999023,0.00999023
5,607.27,1.19529,0.65999,1.15382,0.97589,0.94593,0.98249,0.67652,1.11702,0.6072,1.14399,0.00998264,0.00998264,0.00998264
6,728.342,1.18999,0.64736,1.14893,0.97835,0.96444,0.99043,0.69827,1.11859,0.5441,1.13775,0.00997288,0.00997288,0.00997288
7,848.664,1.17548,0.62831,1.14556,0.97893,0.96347,0.98902,0.68903,1.10798,0.56362,1.13114,0.00996097,0.00996097,0.00996097
8,968.457,1.16489,0.60636,1.13774,0.97769,0.9737,0.99217,0.68424,1.1371,0.54502,1.15807,0.0099469,0.0099469,0.0099469
9,1090.3,1.15032,0.59318,1.13777,0.97564,0.96,0.98775,0.68495,1.12605,0.5315,1.13681,0.00993068,0.00993068,0.00993068
10,1212.06,1.1444,0.59081,1.12864,0.98452,0.96519,0.99023,0.71191,1.09037,0.48469,1.11076,0.00991232,0.00991232,0.00991232
11,1332.3,1.13064,0.56628,1.11194,0.98228,0.97111,0.99219,0.71644,1.09054,0.48854,1.10739,0.00989183,0.00989183,0.00989183
12,1453.58,1.12836,0.56685,1.1158,0.97633,0.96519,0.99121,0.70462,1.11325,0.4998,1.11921,0.00986922,0.00986922,0.00986922
13,1575.94,1.12035,0.55812,1.11499,0.98731,0.98074,0.9935,0.7201,1.07222,0.46423,1.10612,0.00984449,0.00984449,0.00984449
14,1696.83,1.11383,0.5485,1.1164,0.98729,0.97842,0.99313,0.71305,1.07641,0.49095,1.10021,0.00981765,0.00981765,0.00981765
15,1817.57,1.11632,0.5516,1.10621,0.98797,0.97314,0.99227,0.70596,1.09445,0.47128,1.11163,0.00978873,0.00978873,0.00978873
16,1937.34,1.11021,0.54538,1.10223,0.99019,0.9763,0.99335,0.71799,1.09315,0.45439,1.11126,0.00975773,0.00975773,0.00975773
17,2059.22,1.10827,0.53482,1.10662,0.98794,0.97083,0.99186,0.69844,1.12949,0.47214,1.11923,0.00972466,0.00972466,0.00972466
18,2179.97,1.10034,0.5355,1.10065,0.98446,0.98573,0.99399,0.72384,1.06799,0.44093,1.08686,0.00968955,0.00968955,0.00968955
